"filename", "language", "JSON", "JavaScript", "CSS", "XML", "Markdown", "JavaScript React", "HTML", "comment", "blank", "total"
"c:\Porfolio\c.codes\expenses\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Porfolio\c.codes\expenses\package-lock.json", "JSON", 24441, 0, 0, 0, 0, 0, 0, 0, 1, 24442
"c:\Porfolio\c.codes\expenses\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Porfolio\c.codes\expenses\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Porfolio\c.codes\expenses\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Porfolio\c.codes\expenses\src\App.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"c:\Porfolio\c.codes\expenses\src\App.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Porfolio\c.codes\expenses\src\common\categories.css", "CSS", 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\Porfolio\c.codes\expenses\src\common\categories.jsx", "JavaScript React", 0, 0, 0, 0, 0, 122, 0, 0, 4, 126
"c:\Porfolio\c.codes\expenses\src\common\radioButtons.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Porfolio\c.codes\expenses\src\common\radioButtons.jsx", "JavaScript React", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Porfolio\c.codes\expenses\src\common\tooltip.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"c:\Porfolio\c.codes\expenses\src\common\tooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Porfolio\c.codes\expenses\src\components\dropdown.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Porfolio\c.codes\expenses\src\components\dropdown.jsx", "JavaScript React", 0, 0, 0, 0, 0, 62, 0, 3, 6, 71
"c:\Porfolio\c.codes\expenses\src\components\expenseCard.css", "CSS", 0, 0, 92, 0, 0, 0, 0, 7, 15, 114
"c:\Porfolio\c.codes\expenses\src\components\expenseCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 65, 0, 0, 7, 72
"c:\Porfolio\c.codes\expenses\src\components\graphSection.css", "CSS", 0, 0, 53, 0, 0, 0, 0, 0, 9, 62
"c:\Porfolio\c.codes\expenses\src\components\graphSection.jsx", "JavaScript React", 0, 0, 0, 0, 0, 198, 0, 4, 18, 220
"c:\Porfolio\c.codes\expenses\src\components\greetings.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Porfolio\c.codes\expenses\src\components\greetings.jsx", "JavaScript React", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Porfolio\c.codes\expenses\src\components\home.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Porfolio\c.codes\expenses\src\components\home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
